dataset_size,tr_loss,tr_loss_std,te_loss,te_loss_std,german_perc
6230,0.010440032818885997,0.011568634680810869,0.03707796148955822,0.040619437607870415,0.029052969068288803
12461,0.005339135691237737,0.005111492539115985,0.029456696135457604,0.03843053621399921,0.027285128831863403
18691,0.005817828395466233,0.00584210208366748,0.029431311832740902,0.03556015235206102,0.027981381863355637
24922,0.00513395454761802,0.005331665617939366,0.030833221413195132,0.03964237085314271,0.027806757017970085
31152,0.004086372427027061,0.0032612552151129754,0.032000372838228944,0.04528699524489438,0.027767077088356018
37383,0.0044996142067139176,0.003683510145517688,0.0303602734580636,0.041111211121220466,0.029184387996792793
43613,0.004180855123593661,0.0032437675678466233,0.029184394585900008,0.04113938195030915,0.029119757935404778
49844,0.0040565989828745585,0.0026796145573391413,0.030933668115176262,0.046072087646262694,0.02937163971364498
56074,0.004323180221631692,0.003358105430498838,0.03135321456938982,0.042035187309393034,0.029889075085520744
62305,0.00444824009746252,0.0029530018865375745,0.02999532432295382,0.04399968401524132,0.029981542378664017
