dataset_size,tr_loss,tr_loss_std,te_loss,te_loss_std
6230,0.006626739867407685,0.008577135261777315,0.035468016285449266,0.04547173604013472
12461,0.006689703484041204,0.008447975426646435,0.035171794169582424,0.044590864106543865
18691,0.005299803190975316,0.006305120340120449,0.0322806074982509,0.0440234392002241
24922,0.0040686356089468185,0.003884401090721236,0.032224299595691265,0.048665125463884414
31152,0.004780570113498237,0.0051648409611387515,0.03002109284279868,0.04326722736538018
37383,0.004126539957860975,0.0038064894857097243,0.032645675260573624,0.04725309220699885
43613,0.004508223697786102,0.0032462125619952607,0.03300684592686594,0.04743292240694574
49844,0.0043853575908659155,0.0030780000009413464,0.032431632094085214,0.04429717544260724
56074,0.004765786515815341,0.0033772967959621665,0.0315847466699779,0.04395987060678456
62305,0.0041211245585061704,0.0026407371673678884,0.031080195493996144,0.045201782061398216
