epochs,hidden_layers,neurons_per_layer,learning_rate,tr_loss,tr_loss_std,te_loss,te_loss_std
20,1,128,0.001,0.003147979026224735,0.0017373479152482712,0.05675712879747152,0.07934573680878591
20,1,128,0.0001,0.008378966927365707,0.009786569496162459,0.03302241102792323,0.037456057620442754
20,1,128,1e-05,0.068501422860133,0.009309491881008897,0.07678817957639694,0.011782876895800676
20,1,256,0.001,0.0019373659226444954,0.0008509533767329877,0.06049118293449283,0.09048455839566447
20,1,256,0.0001,0.004618393628684011,0.003896339737150385,0.03074314435943961,0.043771598448706935
20,1,256,1e-05,0.062001959286100514,0.01339790272560112,0.0723836936056614,0.015555740740183231
20,4,32,0.001,0.006408187551034597,0.0034204901125098196,0.08659582063555718,0.09727778917615222
20,4,32,0.0001,0.011270326326741192,0.01589551214143929,0.055844180285930634,0.04207003043296963
20,4,32,1e-05,0.0878135092318439,0.006205987603150968,0.08956272900104523,0.0077261638952152
20,4,64,0.001,0.004967780641028292,0.0020105047103026723,0.08562320694327355,0.10974151515659858
20,4,64,0.0001,0.00306082117821121,0.0019965721270722076,0.06049088910222054,0.09190284361351898
20,4,64,1e-05,0.06790872933108735,0.017398896520767513,0.07701596766710281,0.016126759993542707
20,4,128,0.001,0.0037126934307153505,0.001544475031803469,0.08096088655292988,0.11473682794577567
20,4,128,0.0001,0.002763515834047493,0.0021011661903916983,0.06682190736755729,0.11067013307474102
20,4,128,1e-05,0.03992717656923031,0.030199790665713943,0.058199716918170455,0.030086016304120198
20,4,256,0.001,0.005875275542215308,0.002861161721621124,0.07398942913860082,0.0889430168098999
20,4,256,0.0001,0.0030159692596968737,0.0015976237138844928,0.08579063033685089,0.1333434555462602
20,4,256,1e-05,0.018468455600548377,0.025026668342378003,0.03835902530699968,0.037548684412551936
20,8,32,0.001,0.00801641617146126,0.004894169844755979,0.09289306700229645,0.09258408920485311
20,8,32,0.0001,0.018628288508786096,0.020369408910615453,0.06577057987451554,0.039629483295851
20,8,32,1e-05,0.09116495886502175,0.006065161517864977,0.09176393002271652,0.007111241834722289
20,8,64,0.001,0.00685975442825375,0.003110677986081191,0.09929210394620895,0.13000938672958182
20,8,64,0.0001,0.005886282946974711,0.004227846068842903,0.062321724742650984,0.0691513843732363
20,8,64,1e-05,0.07729579186707268,0.013436010303099447,0.08307725191116333,0.01243697854973663
20,8,128,0.001,0.009113915893299499,0.004943038251222012,0.1521606484428048,0.21107039955472115
20,8,128,0.0001,0.002632754909608967,0.001396217001903286,0.07854507965967059,0.10489532482747653
20,8,128,1e-05,0.03766979928335736,0.03347293764971458,0.05962988156825304,0.032778744594319745
20,8,256,0.001,0.033697716563353755,0.0324903509169569,0.16175711005926133,0.06173793504622633
20,8,256,0.0001,0.0021502195219684104,0.001059236792330055,0.09211427662521601,0.12815892989598088
20,8,256,1e-05,0.01652371522238505,0.02271539055629441,0.04117139205336571,0.04126247401776147
20,12,32,0.001,0.008388561581691633,0.0035062707075008636,0.10299848504364491,0.12285292912899144
20,12,32,0.0001,0.028779200714773044,0.020951457716344848,0.06971369571983814,0.030599121878719233
20,12,32,1e-05,0.09322750899024283,0.006203091605677992,0.09352859109640121,0.0075489282422797205
20,12,64,0.001,0.006350766404884166,0.001755912749714199,0.1171576153486967,0.15424556106334
20,12,64,0.0001,0.006379717516218722,0.005431301834640266,0.05587796717882156,0.05862834357722581
20,12,64,1e-05,0.08444339987723685,0.008405278865693807,0.08747224360704423,0.009147072938219009
20,12,128,0.001,0.007667570231191573,0.0051883466455929315,0.14524057433009147,0.17348815084865649
20,12,128,0.0001,0.0025310456810287716,0.0008960967153109979,0.07511865915730595,0.11478771210464765
20,12,128,1e-05,0.052120077176052645,0.028881880641446835,0.07048525102436543,0.025935289841741708
20,12,256,0.001,0.024683501672098932,0.009774235224638253,0.18484754711389542,0.11034976158420146
20,12,256,0.0001,0.003611334015396555,0.0018871960527634848,0.08518066834658385,0.13742364691535847
20,12,256,1e-05,0.02435605894404571,0.026602739592623475,0.048805967532098295,0.038063983371726694
20,16,32,0.001,0.009259753242937395,0.003956467283108303,0.08425317630171776,0.08014091827865397
20,16,32,0.0001,0.03603885370249392,0.019328569454159495,0.06760054007172585,0.024926031850026075
20,16,32,1e-05,0.09482400902329732,0.00753918794829105,0.0952934667468071,0.008108730973040249
20,16,64,0.001,0.0067881078004007845,0.002986897584094411,0.13812763430178165,0.20038204037580026
20,16,64,0.0001,0.012840271083271284,0.014120568344707124,0.058875839971005914,0.04366876671018391
20,16,64,1e-05,0.08311222983589664,0.009956355776117698,0.0870745986700058,0.00928230044989324
20,16,128,0.001,0.011926078659388963,0.004053656031849823,0.13110044673085214,0.13965974237713394
20,16,128,0.0001,0.005245842476740316,0.0016829365660181173,0.08913754709064961,0.14002179838049997
20,16,128,1e-05,0.05534190321445298,0.026787246457696867,0.07437739148736,0.020329949702010183
20,16,256,0.001,77.64469357332486,38.79929321816852,77.7813471198082,38.569240880175954
20,16,256,0.0001,0.0020836920262885584,0.0011480756717675623,0.07137441216036677,0.11081781658960978
20,16,256,1e-05,0.024300675060867458,0.027377173572883155,0.04838318526744843,0.035967692847481525
